Benign;xVal; Score
procexp.exe;1;0.6
RTMPDumpHelper.exe;2;1.2
HxDPortableSetup.exe;3;3.4
i2pdf.exe;4;1.0
Imagine.exe;5;0.8
AdiIRC.exe;6;7.0
IP2.exe;7;1.4
ipscan221.exe;8;2.4
i{\_}view32.exe;9;1.4
iv{\_}uninstall.exe;10;0.8
JauntePE.exe;11;0.6
JPEALMaker.exe;12;0.6
bcm.exe;13;0.8
JPEPortable.exe;14;0.6
jsmin.exe;15;0.2
lame.exe;16;0.4
licecap128-install.exe;17;3.2
Arc.exe;18;1.0
Linux{\_}Reader.exe;19;3.6
lpaq8.exe;20;0.8
M3.exe;21;0.6
MAC.exe;22;1.2
Mempad.exe;23;0.4
rufus-3.9p.exe;24;3.8
MobaXterm{\_}Personal{\_}20.1.exe;25;4.2
mouserecorder.exe;26;0.6
MozillaCacheView.exe;27;1.0
mpc-hc.exe;28;3.4
MyEventViewer.exe;29;1.8
AudioExtractor.exe;30;2.0
MySecret.exe;31;2.0
myuninst.exe;32;5.2
netsetman{\_}setup{\_}472.exe;33;5.6
NetworkTrafficView.exe;34;2.8
sendrpt.exe;35;0.8
notepad++.exe;36;0.8
oggdec.exe;37;1.6
oggenc.exe;38;1.2
OpenedFilesView.exe;39;5.8
optipng.exe;40;1.4
osfmount{\_}v2.0.1001.exe;41;3.2
Autoruns.exe;42;0.4
OutlookStatView.exe;43;1.8
paq8o.exe;44;1.4
PCI-Z.exe;45;2.6
setup-imbatch-latest.exe;46;1.2
pdb.exe;47;0.6
pdftk.exe;48;1.2
pdftotext.exe;49;0.2
pea.exe;50;0.0
peazip-configuration.exe;51;4.8
peazip.exe;52;0.0
PhonerLite.exe;53;2.6
AwesomePhotoProject.exe;54;1.0
PhotoDemon.exe;55;1.6
PhpCB.exe;56;0.2
shexview.exe;57;1.0
PlanMaker.exe;58;1.2
PngOptimizerCL.exe;59;0.2
pngquant.exe;60;0.2
PortableApps.com{\_}Platform{\_}Setup{\_}16.1.1.paf.exe;61;1.8
PotPlayerSetup.exe;62;4.4
PPEE.exe;63;0.2
prc.exe;64;0.6
procexp64.exe;65;0.6
BatteryInfoView.exe;66;0.8
SimpleProgramDebugger.exe;67;0.8
Slideshow.exe;68;0.6
smash.exe;69;0.4
SnapDB.exe;70;1.8
PSPad.exe;71;1.0
Splat.exe;72;3.2
STDUViewerApp.exe;73;1.8
Be.HexEditor.exe;74;1.4
streamwriter.exe;75;4.2
strip.exe;76;1.2
SubtitleEdit.exe;77;1.8
SumatraPDF-3.2-32.exe;78;2.2
t32.exe;79;0.6
t64.exe;80;0.4
Tagscan.exe;81;0.4
python.exe;82;0.4
teracopy.exe;83;6.8
tesseract.exe;84;0.2
TestDLLUse.exe;85;0.6
bintext.exe;86;4.0
TestProfPort.exe;87;1.2
TestRegSharing.exe;88;0.6
Text2Folders.exe;89;2.4
TextDiff.exe;90;1.2
TextMaker.exe;91;1.2
tidy.exe;92;1.4
QTranslate.exe;93;0.6
torbrowser-install-9.0.6{\_}en-US.exe;94;3.0
TreeMapFs{\_}build346{\_}Setup.exe;95;2.4
ttf2eot.exe;96;0.0
ultradefrag-7.1.4.bin.amd64.exe;97;3.4
blender.exe;98;0.8
UnityPDF.exe;99;1.8
upx.exe;100;0.8
USBOblivion32.exe;101;1.0
USBOblivion64.exe;102;1.0
VeraCrypt Portable 1.24-Update6.exe;103;0.6
Rainmeter-4.3.1.exe;104;6.6
vlc-cache-gen.exe;105;0.8
vlc.exe;106;0.8
w32.exe;107;0.4
w64.exe;108;0.4
WakeMeOnLan.exe;109;1.8
BlueScreenView.exe;110;2.4
WhatInStartup.exe;111;2.8
WinContig64.exe;112;0.0
WinContig.exe;113;0.6
WNetWatcher.exe;114;2.0
rasdnd.exe;115;3.4
x264.exe;116;0.4
x8.32.exe;117;1.6
X.Backup.exe;118;1.2
brotli.exe;119;0.6
zstd.exe;120;0.6
ztext.exe;121;1.4
BulkFileChanger.exe;122;1.8
BvSshClient-Inst.exe;123;5.8
caffeine.exe;124;0.8
ChromeCookiesView.exe;125;1.8
recall.exe;126;0.8
3dyd{\_}1.19.1.exe;127;2.0
ColorConsole{\_}Portable.exe;128;2.8
Core-Temp-setup.exe;129;4.0
cports.exe;130;2.4
dllexp.exe;131;1.4
DNSBench.exe;132;3.0
DnsJumper.exe;133;2.8
dpclat.exe;134;0.8
EqnEdt32.exe;135;0.2
Everything.exe;136;1.4
RegDllView.exe;137;2.0
exiftool.exe;138;1.4
7z.exe;139;1.4
faad.exe;140;1.6
ffmpeg.exe;141;1.0
ffplay.exe;142;0.0
ffprobe.exe;143;0.0
File Blender.exe;144;1.0
FileMonitor.exe;145;5.2
flac.exe;146;0.4
foobar2000{\_}v1.5.2.exe;147;2.0
Reminder.exe;148;0.8
freac-1.0.33.exe;149;0.2
FSCapture.exe;150;2.0
7-ZipPortable{\_}19.00.paf.exe;151;3.6
FSViewer.exe;152;0.2
gifsicle.exe;153;1.6
GIMPPortable{\_}2.10.14-1.paf.exe;154;2.6
gui-32.exe;155;0.2
gui-64.exe;156;0.2
gui.exe;157;0.6
GUP.exe;158;0.8
